Year,Month,Month Code,District Code,District,Total SNAP Households,Total SNAP Persons,Total SNAP Benefits,Temporary Assistance SNAP Households,Temporary Assistance SNAP Persons,Temporary Assistance SNAP Benefits,Non-Temporary Assistance SNAP Households,Non-Temporary Assistance SNAP Persons,Non-Temporary Assistance SNAP Benefits
2002,January,1,26,Monroe,"26,983","58,347","$4,762,736","15,205","28,260","$2,508,472","11,778","30,087","$2,254,264"
2002,January,1,27,Montgomery,"1,921","4,373","$358,598",645,893,"$80,035","1,276","3,480","$278,563"
2002,January,1,28,Nassau,"9,672","17,112","$1,422,554","5,936","9,086","$817,409","3,736","8,026","$605,145"
2002,January,1,29,Niagara,"6,339","13,055","$1,043,855","3,308","5,549","$489,716","3,031","7,506","$554,139"
2002,January,1,30,Oneida,"9,406","20,160","$1,605,540","3,879","5,994","$524,557","5,527","14,166","$1,080,983"
2002,January,1,31,Onondaga,"13,665","30,677","$2,526,006","6,885","12,282","$1,149,927","6,780","18,395","$1,376,079"
2002,January,1,32,Ontario,"2,322","4,395","$334,658",998,"1,441","$127,166","1,324","2,954","$207,492"
2002,January,1,33,Orange,"7,271","18,491","$1,608,321","3,070","5,789","$550,027","4,201","12,702","$1,058,294"
2002,January,1,34,Orleans,"1,329","3,011","$242,381",640,"1,170","$106,667",689,"1,841","$135,714"
2002,January,1,35,Oswego,"3,655","8,691","$678,767","1,328","1,957","$170,189","2,327","6,734","$508,578"
2002,January,1,36,Otsego,"1,252","2,366","$170,980",437,493,"$37,574",815,"1,873","$133,406"
2002,January,1,37,Putnam,488,675,"$42,340",283,337,"$23,203",205,338,"$19,137"
2002,January,1,38,Rensselaer,"4,005","8,293","$715,831","1,881","3,080","$300,827","2,124","5,213","$415,004"
2002,January,1,39,Rockland,"4,742","15,156","$1,243,339","1,792","3,420","$237,771","2,950","11,736","$1,005,568"
2002,January,1,40,St. Lawrence,"3,557","7,436","$560,362","1,645","2,441","$211,584","1,912","4,995","$348,778"
2002,January,1,41,Saratoga,"2,757","5,353","$395,646",912,"1,011","$78,677","1,845","4,342","$316,969"
2002,January,1,42,Schenectady,"4,092","8,865","$704,350","1,675","2,470","$219,187","2,417","6,395","$485,163"
2002,January,1,43,Schoharie,791,"1,606","$114,258",263,321,"$22,496",528,"1,285","$91,762"
2002,January,1,44,Schuyler,456,957,"$74,208",212,354,"$30,591",244,603,"$43,617"
2002,January,1,45,Seneca,845,"1,639","$120,601",300,420,"$33,302",545,"1,219","$87,299"
2002,January,1,46,Steuben,"2,868","6,108","$460,493","1,319","2,004","$175,617","1,549","4,104","$284,876"
2002,January,1,47,Suffolk,"14,571","26,375","$2,156,237","8,998","14,266","$1,248,490","5,573","12,109","$907,747"
2002,January,1,48,Sullivan,"2,089","4,280","$322,810",948,"1,420","$121,450","1,141","2,860","$201,360"
2002,January,1,49,Tioga,"1,091","2,435","$184,920",465,702,"$62,200",626,"1,733","$122,720"
2002,January,1,50,Tompkins,"1,924","3,705","$277,131",970,"1,441","$118,240",954,"2,264","$158,891"
2002,January,1,51,Ulster,"3,523","6,566","$486,707","1,851","2,814","$234,468","1,672","3,752","$252,239"
2002,January,1,52,Warren,"1,697","3,267","$257,197",793,"1,124","$97,795",904,"2,143","$159,402"
2002,January,1,53,Washington,"1,639","3,265","$247,690",654,820,"$68,838",985,"2,445","$178,852"
2002,January,1,54,Wayne,"2,332","4,290","$333,789",988,"1,260","$109,945","1,344","3,030","$223,844"
2002,January,1,55,Westchester,"15,523","31,258","$2,636,349","9,996","17,724","$1,614,621","5,527","13,534","$1,021,728"
2002,January,1,56,Wyoming,812,"1,627","$116,137",320,424,"$36,482",492,"1,203","$79,655"
2002,January,1,57,Yates,737,"1,368","$99,274",235,278,"$24,043",502,"1,090","$75,231"
2002,January,1,66,New York City,"415,846","798,396","$82,644,581","338,982","622,353","$67,368,618","76,864","176,043","$15,275,963"
2002,February,2,1,Albany,"8,479","17,306","$1,420,320","4,822","8,194","$766,088","3,657","9,112","$654,232"
2002,February,2,2,Allegany,"1,808","3,741","$275,472",837,"1,328","$106,583",971,"2,413","$168,889"
2002,February,2,3,Broome,"6,013","11,951","$938,075","3,033","4,786","$429,021","2,980","7,165","$509,054"
2002,February,2,4,Cattaraugus,"3,074","6,237","$439,878","1,235","1,729","$144,415","1,839","4,508","$295,463"
2002,February,2,5,Cayuga,"2,118","4,759","$367,718",738,"1,044","$87,403","1,380","3,715","$280,315"
2002,February,2,6,Chautauqua,"5,586","11,887","$970,617","2,891","4,878","$464,186","2,695","7,009","$506,431"
2002,February,2,7,Chemung,"2,740","5,967","$464,229","1,363","2,210","$194,146","1,377","3,757","$270,083"
2002,February,2,8,Chenango,"1,712","3,777","$283,365",487,677,"$59,243","1,225","3,100","$224,122"
2002,February,2,9,Clinton,"2,961","5,592","$426,405","1,357","1,715","$141,302","1,604","3,877","$285,103"
2002,February,2,10,Columbia,"1,357","2,466","$193,194",586,808,"$72,455",771,"1,658","$120,739"
2002,February,2,11,Cortland,"1,567","3,267","$256,308",700,"1,051","$93,913",867,"2,216","$162,395"
2002,February,2,12,Delaware,"1,275","2,425","$170,210",483,604,"$45,875",792,"1,821","$124,335"
2002,February,2,13,Dutchess,"3,435","6,328","$490,918","1,558","2,256","$205,882","1,877","4,072","$285,036"
2002,February,2,14,Erie,"36,161","74,026","$6,062,005","18,400","30,150","$2,820,094","17,761","43,876","$3,241,911"
2002,February,2,15,Essex,"1,151","2,142","$153,140",499,653,"$47,457",652,"1,489","$105,683"
2002,February,2,16,Franklin,"1,647","3,458","$256,791",646,858,"$66,443","1,001","2,600","$190,348"
2002,February,2,17,Fulton,"1,975","4,324","$340,291",771,"1,051","$93,543","1,204","3,273","$246,748"
2002,February,2,18,Genesee,"1,281","2,643","$213,764",507,725,"$63,624",774,"1,918","$150,140"
2002,February,2,19,Greene,"1,348","2,672","$212,203",611,921,"$85,471",737,"1,751","$126,732"
2002,February,2,20,Hamilton,161,244,"$12,271",28,39,"$2,963",133,205,"$9,308"
2002,February,2,21,Herkimer,"2,000","4,299","$326,608",691,982,"$80,448","1,309","3,317","$246,160"
2002,February,2,22,Jefferson,"3,700","8,254","$633,987","1,566","2,409","$198,684","2,134","5,845","$435,303"
2002,February,2,23,Lewis,826,"1,818","$129,876",276,373,"$27,840",550,"1,445","$102,036"
2002,February,2,24,Livingston,"1,686","3,269","$261,984",782,"1,228","$119,701",904,"2,041","$142,283"
2002,February,2,25,Madison,"1,547","3,198","$246,154",551,650,"$49,853",996,"2,548","$196,301"
2002,February,2,26,Monroe,"27,063","58,579","$4,757,156","15,207","28,170","$2,497,697","11,856","30,409","$2,259,459"
2002,February,2,27,Montgomery,"1,928","4,370","$359,115",638,904,"$80,501","1,290","3,466","$278,614"
2002,February,2,28,Nassau,"9,675","17,045","$1,413,997","5,960","9,097","$816,949","3,715","7,948","$597,048"
2002,February,2,29,Niagara,"6,352","13,057","$1,039,379","3,271","5,471","$487,686","3,081","7,586","$551,693"
2002,February,2,30,Oneida,"9,398","20,143","$1,590,117","3,869","5,996","$519,952","5,529","14,147","$1,070,165"
2002,February,2,31,Onondaga,"13,668","30,633","$2,533,073","6,826","12,033","$1,132,714","6,842","18,600","$1,400,359"
2002,February,2,32,Ontario,"2,323","4,405","$331,786","1,011","1,454","$129,861","1,312","2,951","$201,925"
2002,February,2,33,Orange,"7,189","18,220","$1,564,151","3,000","5,621","$530,147","4,189","12,599","$1,034,004"
2002,February,2,34,Orleans,"1,320","2,945","$235,558",632,"1,126","$103,913",688,"1,819","$131,645"
2002,February,2,35,Oswego,"3,611","8,612","$671,936","1,310","1,900","$165,517","2,301","6,712","$506,419"
2002,February,2,36,Otsego,"1,261","2,391","$176,623",444,511,"$38,324",817,"1,880","$138,299"
2002,February,2,37,Putnam,503,697,"$46,803",287,346,"$25,088",216,351,"$21,715"
2002,February,2,38,Rensselaer,"4,033","8,400","$716,510","1,871","3,078","$297,780","2,162","5,322","$418,730"
2002,February,2,39,Rockland,"4,745","15,217","$1,248,743","1,781","3,375","$234,387","2,964","11,842","$1,014,356"
2002,February,2,40,St. Lawrence,"3,552","7,456","$558,992","1,621","2,393","$204,761","1,931","5,063","$354,231"
2002,February,2,41,Saratoga,"2,811","5,417","$409,312",934,"1,026","$80,176","1,877","4,391","$329,136"
2002,February,2,42,Schenectady,"4,120","8,892","$709,019","1,705","2,484","$221,845","2,415","6,408","$487,174"
2002,February,2,43,Schoharie,789,"1,613","$116,568",259,316,"$23,161",530,"1,297","$93,407"
2002,February,2,44,Schuyler,467,"1,017","$77,891",209,350,"$30,782",258,667,"$47,109"
2002,February,2,45,Seneca,862,"1,681","$123,248",307,437,"$36,076",555,"1,244","$87,172"
2002,February,2,46,Steuben,"2,934","6,283","$469,289","1,338","2,043","$176,228","1,596","4,240","$293,061"
2002,February,2,47,Suffolk,"14,626","26,466","$2,132,150","9,003","14,287","$1,234,474","5,623","12,179","$897,676"
2002,February,2,48,Sullivan,"2,172","4,400","$337,737","1,014","1,487","$130,588","1,158","2,913","$207,149"
2002,February,2,49,Tioga,"1,094","2,438","$181,676",477,725,"$64,192",617,"1,713","$117,484"
2002,February,2,50,Tompkins,"1,926","3,708","$275,276",971,"1,442","$117,120",955,"2,266","$158,156"
2002,February,2,51,Ulster,"3,493","6,506","$481,888","1,845","2,822","$235,031","1,648","3,684","$246,857"
2002,February,2,52,Warren,"1,674","3,179","$246,615",772,"1,067","$89,593",902,"2,112","$157,022"
2002,February,2,53,Washington,"1,678","3,380","$255,197",656,824,"$69,321","1,022","2,556","$185,876"
2002,February,2,54,Wayne,"2,389","4,426","$337,651",994,"1,292","$112,484","1,395","3,134","$225,167"
2002,February,2,55,Westchester,"15,437","31,121","$2,628,160","9,893","17,543","$1,601,422","5,544","13,578","$1,026,738"
2002,February,2,56,Wyoming,811,"1,641","$119,650",322,425,"$36,286",489,"1,216","$83,364"
2002,February,2,57,Yates,736,"1,376","$100,817",239,291,"$24,900",497,"1,085","$75,917"
2002,February,2,66,New York City,"422,046","810,390","$81,786,250","344,035","631,702","$66,668,941","78,011","178,688","$15,117,309"
2002,March,3,1,Albany,"8,707","17,646","$1,472,088","4,942","8,305","$782,555","3,765","9,341","$689,533"
2002,March,3,2,Allegany,"1,832","3,813","$281,960",848,"1,364","$110,122",984,"2,449","$171,838"
2002,March,3,3,Broome,"6,146","12,256","$966,719","3,088","4,898","$442,191","3,058","7,358","$524,528"
2002,March,3,4,Cattaraugus,"3,093","6,257","$450,005","1,215","1,723","$142,766","1,878","4,534","$307,239"
2002,March,3,5,Cayuga,"2,182","4,891","$382,658",740,"1,032","$86,402","1,442","3,859","$296,256"
2002,March,3,6,Chautauqua,"5,665","12,049","$988,194","2,937","4,998","$479,388","2,728","7,051","$508,806"
2002,March,3,7,Chemung,"2,800","6,096","$479,012","1,392","2,251","$202,068","1,408","3,845","$276,944"
2002,March,3,8,Chenango,"1,767","3,908","$305,266",489,702,"$62,209","1,278","3,206","$243,057"
2002,March,3,9,Clinton,"3,040","5,745","$441,242","1,382","1,766","$147,233","1,658","3,979","$294,009"
2002,March,3,10,Columbia,"1,411","2,526","$200,019",622,856,"$78,868",789,"1,670","$121,151"
2002,March,3,11,Cortland,"1,646","3,422","$277,430",713,"1,055","$94,888",933,"2,367","$182,542"
2002,March,3,12,Delaware,"1,282","2,422","$174,452",480,591,"$44,871",802,"1,831","$129,581"
2002,March,3,13,Dutchess,"3,541","6,462","$509,607","1,621","2,347","$218,856","1,920","4,115","$290,751"
2002,March,3,14,Erie,"36,511","74,663","$6,116,642","18,609","30,450","$2,853,056","17,902","44,213","$3,263,586"
2002,March,3,15,Essex,"1,184","2,230","$159,349",513,691,"$52,592",671,"1,539","$106,757"
2002,March,3,16,Franklin,"1,675","3,522","$260,892",665,913,"$73,392","1,010","2,609","$187,500"
2002,March,3,17,Fulton,"1,994","4,422","$346,708",760,"1,013","$91,189","1,234","3,409","$255,519"
2002,March,3,18,Genesee,"1,332","2,730","$217,084",522,740,"$64,931",810,"1,990","$152,153"
2002,March,3,19,Greene,"1,365","2,686","$214,396",607,910,"$84,245",758,"1,776","$130,151"
2002,March,3,20,Hamilton,166,252,"$12,290",27,35,"$2,629",139,217,"$9,661"
2002,March,3,21,Herkimer,"2,044","4,418","$343,583",702,"1,009","$83,541","1,342","3,409","$260,042"
2002,March,3,22,Jefferson,"3,765","8,350","$651,328","1,593","2,463","$206,972","2,172","5,887","$444,356"
2002,March,3,23,Lewis,852,"1,905","$137,284",277,368,"$26,827",575,"1,537","$110,457"
2002,March,3,24,Livingston,"1,726","3,403","$270,618",786,"1,237","$119,105",940,"2,166","$151,513"
2002,March,3,25,Madison,"1,579","3,260","$250,243",560,648,"$50,023","1,019","2,612","$200,220"
2002,March,3,26,Monroe,"27,668","59,635","$4,859,502","15,308","28,292","$2,519,546","12,360","31,343","$2,339,956"
2002,March,3,27,Montgomery,"1,961","4,439","$364,845",658,966,"$85,779","1,303","3,473","$279,066"
2002,March,3,28,Nassau,"9,897","17,401","$1,471,370","6,030","9,173","$833,724","3,867","8,228","$637,646"
2002,March,3,29,Niagara,"6,480","13,369","$1,073,303","3,285","5,475","$492,115","3,195","7,894","$581,188"
2002,March,3,30,Oneida,"9,560","20,461","$1,627,235","3,890","6,038","$523,418","5,670","14,423","$1,103,817"
2002,March,3,31,Onondaga,"13,962","31,192","$2,596,765","6,924","12,152","$1,148,683","7,038","19,040","$1,448,082"
2002,March,3,32,Ontario,"2,388","4,518","$345,074","1,031","1,493","$133,700","1,357","3,025","$211,374"
2002,March,3,33,Orange,"7,449","18,841","$1,687,086","3,068","5,673","$549,986","4,381","13,168","$1,137,100"
2002,March,3,34,Orleans,"1,369","3,047","$249,167",613,"1,058","$98,460",756,"1,989","$150,707"
2002,March,3,35,Oswego,"3,756","9,017","$712,835","1,335","1,960","$171,181","2,421","7,057","$541,654"
2002,March,3,36,Otsego,"1,302","2,485","$187,133",450,518,"$38,228",852,"1,967","$148,905"
2002,March,3,37,Putnam,505,701,"$45,274",291,348,"$24,212",214,353,"$21,062"
2002,March,3,38,Rensselaer,"4,128","8,540","$728,057","1,914","3,086","$299,468","2,214","5,454","$428,589"
2002,March,3,39,Rockland,"4,784","15,314","$1,270,155","1,790","3,374","$235,734","2,994","11,940","$1,034,421"
2002,March,3,40,St. Lawrence,"3,616","7,576","$568,712","1,654","2,460","$210,911","1,962","5,116","$357,801"
2002,March,3,41,Saratoga,"2,845","5,488","$415,279",930,"1,033","$81,004","1,915","4,455","$334,275"
2002,March,3,42,Schenectady,"4,185","8,987","$720,641","1,721","2,515","$226,320","2,464","6,472","$494,321"
2002,March,3,43,Schoharie,820,"1,684","$121,327",263,318,"$23,172",557,"1,366","$98,155"
2002,March,3,44,Schuyler,484,"1,048","$83,001",218,373,"$33,344",266,675,"$49,657"
2002,March,3,45,Seneca,888,"1,770","$133,671",315,454,"$37,255",573,"1,316","$96,416"
2002,March,3,46,Steuben,"3,026","6,475","$494,614","1,364","2,086","$184,057","1,662","4,389","$310,557"
2002,March,3,47,Suffolk,"15,038","27,123","$2,238,079","9,223","14,531","$1,275,802","5,815","12,592","$962,277"
2002,March,3,48,Sullivan,"2,250","4,561","$334,441","1,051","1,539","$127,377","1,199","3,022","$207,064"
2002,March,3,49,Tioga,"1,127","2,481","$189,769",492,760,"$68,410",635,"1,721","$121,359"
2002,March,3,50,Tompkins,"1,949","3,707","$279,545",982,"1,473","$120,640",967,"2,234","$158,905"
2002,March,3,51,Ulster,"3,554","6,636","$495,084","1,868","2,863","$237,940","1,686","3,773","$257,144"
2002,March,3,52,Warren,"1,730","3,290","$254,881",801,"1,139","$94,208",929,"2,151","$160,673"
2002,March,3,53,Washington,"1,690","3,379","$255,848",658,837,"$71,011","1,032","2,542","$184,837"
2002,March,3,54,Wayne,"2,490","4,617","$352,869","1,039","1,374","$120,761","1,451","3,243","$232,108"
2002,March,3,55,Westchester,"15,592","31,307","$2,690,756","9,959","17,651","$1,635,318","5,633","13,656","$1,055,438"
2002,March,3,56,Wyoming,826,"1,673","$123,023",319,419,"$35,823",507,"1,254","$87,200"
2002,March,3,57,Yates,763,"1,425","$105,375",244,298,"$26,204",519,"1,127","$79,171"
2002,March,3,66,New York City,"424,927","814,790","$82,375,222","346,384","635,132","$67,149,048","78,543","179,658","$15,226,174"
2002,April,4,1,Albany,"8,603","17,363","$1,438,730","4,891","8,209","$767,340","3,712","9,154","$671,390"
2002,April,4,2,Allegany,"1,815","3,717","$272,875",863,"1,388","$113,401",952,"2,329","$159,474"
2002,April,4,3,Broome,"6,157","12,248","$975,368","3,086","4,913","$446,036","3,071","7,335","$529,332"
2002,April,4,4,Cattaraugus,"3,030","6,047","$433,123","1,192","1,660","$135,724","1,838","4,387","$297,399"
2002,April,4,5,Cayuga,"2,140","4,750","$366,038",739,"1,021","$83,831","1,401","3,729","$282,207"
2002,April,4,6,Chautauqua,"5,661","12,012","$988,501","2,903","4,920","$470,806","2,758","7,092","$517,695"
2002,April,4,7,Chemung,"2,836","6,142","$472,371","1,441","2,339","$209,703","1,395","3,803","$262,668"
2002,April,4,8,Chenango,"1,736","3,831","$284,651",481,659,"$55,968","1,255","3,172","$228,683"
2002,April,4,9,Clinton,"3,004","5,692","$431,170","1,369","1,752","$146,947","1,635","3,940","$284,223"
2002,April,4,10,Columbia,"1,410","2,546","$196,462",622,886,"$80,436",788,"1,660","$116,026"
2002,April,4,11,Cortland,"1,614","3,345","$262,304",723,"1,081","$95,803",891,"2,264","$166,501"
2002,April,4,12,Delaware,"1,271","2,404","$168,056",467,565,"$41,533",804,"1,839","$126,523"
2002,April,4,13,Dutchess,"3,532","6,397","$500,480","1,611","2,296","$210,622","1,921","4,101","$289,858"
2002,April,4,14,Erie,"36,426","74,409","$6,072,063","18,430","30,075","$2,800,851","17,996","44,334","$3,271,212"
2002,April,4,15,Essex,"1,173","2,225","$157,592",504,671,"$49,733",669,"1,554","$107,859"
2002,April,4,16,Franklin,"1,674","3,512","$260,119",663,904,"$72,516","1,011","2,608","$187,603"
2002,April,4,17,Fulton,"1,982","4,335","$334,457",775,"1,044","$92,008","1,207","3,291","$242,449"
2002,April,4,18,Genesee,"1,328","2,725","$206,591",505,695,"$60,650",823,"2,030","$145,941"
2002,April,4,19,Greene,"1,356","2,619","$210,694",614,893,"$84,459",742,"1,726","$126,235"
2002,April,4,20,Hamilton,164,247,"$11,982",27,33,"$2,517",137,214,"$9,465"
2002,April,4,21,Herkimer,"2,037","4,357","$336,605",701,960,"$77,281","1,336","3,397","$259,324"
2002,April,4,22,Jefferson,"3,762","8,287","$640,381","1,599","2,442","$201,819","2,163","5,845","$438,562"
2002,April,4,23,Lewis,840,"1,881","$129,656",279,371,"$27,287",561,"1,510","$102,369"
2002,April,4,24,Livingston,"1,695","3,299","$255,794",761,"1,173","$111,490",934,"2,126","$144,304"
2002,April,4,25,Madison,"1,582","3,306","$254,025",553,636,"$48,246","1,029","2,670","$205,779"
2002,April,4,26,Monroe,"27,774","59,832","$4,855,143","15,136","27,991","$2,480,568","12,638","31,841","$2,374,575"
2002,April,4,27,Montgomery,"1,949","4,372","$355,470",667,955,"$85,466","1,282","3,417","$270,004"
2002,April,4,28,Nassau,"9,843","17,160","$1,422,518","5,980","9,002","$807,577","3,863","8,158","$614,941"
2002,April,4,29,Niagara,"6,455","13,289","$1,058,988","3,263","5,422","$482,459","3,192","7,867","$576,529"
2002,April,4,30,Oneida,"9,518","20,370","$1,596,076","3,873","5,980","$515,556","5,645","14,390","$1,080,520"
2002,April,4,31,Onondaga,"13,927","31,102","$2,579,058","6,837","12,063","$1,127,223","7,090","19,039","$1,451,835"
2002,April,4,32,Ontario,"2,357","4,458","$333,023","1,009","1,456","$126,956","1,348","3,002","$206,067"
2002,April,4,33,Orange,"7,379","18,729","$1,622,863","3,016","5,558","$531,772","4,363","13,171","$1,091,091"
2002,April,4,34,Orleans,"1,345","2,978","$240,766",600,"1,018","$95,007",745,"1,960","$145,759"
2002,April,4,35,Oswego,"3,698","8,842","$690,977","1,272","1,825","$155,749","2,426","7,017","$535,228"
2002,April,4,36,Otsego,"1,295","2,472","$184,704",450,515,"$37,923",845,"1,957","$146,781"
2002,April,4,37,Putnam,516,712,"$48,004",296,350,"$25,221",220,362,"$22,783"
2002,April,4,38,Rensselaer,"4,107","8,463","$717,749","1,869","2,958","$287,855","2,238","5,505","$429,894"
2002,April,4,39,Rockland,"4,784","15,350","$1,263,300","1,780","3,331","$233,685","3,004","12,019","$1,029,615"
2002,April,4,40,St. Lawrence,"3,575","7,474","$554,420","1,638","2,432","$205,286","1,937","5,042","$349,134"
2002,April,4,41,Saratoga,"2,830","5,465","$410,070",929,"1,040","$81,843","1,901","4,425","$328,227"
2002,April,4,42,Schenectady,"4,189","8,951","$707,435","1,720","2,502","$221,746","2,469","6,449","$485,689"
2002,April,4,43,Schoharie,810,"1,643","$120,188",266,314,"$22,404",544,"1,329","$97,784"
2002,April,4,44,Schuyler,496,"1,075","$81,737",218,360,"$31,486",278,715,"$50,251"
2002,April,4,45,Seneca,867,"1,709","$124,815",330,464,"$37,198",537,"1,245","$87,617"
2002,April,4,46,Steuben,"2,996","6,388","$486,620","1,332","2,023","$176,941","1,664","4,365","$309,679"
2002,April,4,47,Suffolk,"15,127","27,246","$2,218,519","9,224","14,432","$1,247,308","5,903","12,814","$971,211"
2002,April,4,48,Sullivan,"2,250","4,564","$333,362","1,048","1,515","$124,160","1,202","3,049","$209,202"
2002,April,4,49,Tioga,"1,117","2,478","$188,388",491,764,"$68,332",626,"1,714","$120,056"
2002,April,4,50,Tompkins,"1,965","3,735","$280,250",982,"1,474","$120,468",983,"2,261","$159,782"
2002,April,4,51,Ulster,"3,502","6,477","$477,024","1,852","2,809","$233,815","1,650","3,668","$243,209"
2002,April,4,52,Warren,"1,687","3,161","$242,425",804,"1,135","$94,197",883,"2,026","$148,228"
2002,April,4,53,Washington,"1,691","3,362","$252,757",650,835,"$68,324","1,041","2,527","$184,433"
2002,April,4,54,Wayne,"2,519","4,733","$357,814","1,053","1,406","$121,682","1,466","3,327","$236,132"
2002,April,4,55,Westchester,"15,573","31,306","$2,660,490","9,881","17,417","$1,590,415","5,692","13,889","$1,070,075"
2002,April,4,56,Wyoming,802,"1,600","$116,599",314,396,"$33,578",488,"1,204","$83,021"
2002,April,4,57,Yates,764,"1,413","$103,919",245,290,"$25,616",519,"1,123","$78,303"
2002,April,4,66,New York City,"429,459","822,530","$81,386,498","350,078","641,166","$66,343,078","79,381","181,364","$15,043,420"
2002,May,5,1,Albany,"8,659","17,500","$1,448,692","4,878","8,183","$763,500","3,781","9,317","$685,192"
2002,May,5,2,Allegany,"1,803","3,678","$271,583",851,"1,349","$110,488",952,"2,329","$161,095"
2002,May,5,3,Broome,"6,242","12,442","$992,460","3,088","4,903","$444,623","3,154","7,539","$547,837"
2002,May,5,4,Cattaraugus,"2,999","6,010","$423,991","1,177","1,637","$134,292","1,822","4,373","$289,699"
2002,May,5,5,Cayuga,"2,161","4,775","$367,241",731,"1,008","$83,095","1,430","3,767","$284,146"
2002,May,5,6,Chautauqua,"5,610","11,899","$970,232","2,835","4,761","$449,796","2,775","7,138","$520,436"
2002,May,5,7,Chemung,"2,871","6,166","$477,284","1,464","2,377","$214,047","1,407","3,789","$263,237"
2002,May,5,8,Chenango,"1,729","3,820","$281,257",475,659,"$54,969","1,254","3,161","$226,288"
2002,May,5,9,Clinton,"3,046","5,798","$438,183","1,373","1,735","$144,210","1,673","4,063","$293,973"
2002,May,5,10,Columbia,"1,396","2,534","$192,465",598,847,"$73,135",798,"1,687","$119,330"
2002,May,5,11,Cortland,"1,667","3,452","$272,610",700,"1,034","$90,119",967,"2,418","$182,491"
2002,May,5,12,Delaware,"1,282","2,425","$166,854",461,537,"$39,605",821,"1,888","$127,249"
2002,May,5,13,Dutchess,"3,492","6,306","$492,799","1,595","2,237","$206,013","1,897","4,069","$286,786"
2002,May,5,14,Erie,"36,517","74,607","$6,096,987","18,361","29,926","$2,771,622","18,156","44,681","$3,325,365"
2002,May,5,15,Essex,"1,171","2,211","$157,374",490,653,"$47,561",681,"1,558","$109,813"
2002,May,5,16,Franklin,"1,674","3,487","$257,626",657,900,"$71,715","1,017","2,587","$185,911"
2002,May,5,17,Fulton,"1,965","4,289","$328,513",734,971,"$83,011","1,231","3,318","$245,502"
2002,May,5,18,Genesee,"1,312","2,678","$197,264",488,662,"$57,503",824,"2,016","$139,761"
2002,May,5,19,Greene,"1,342","2,567","$205,597",607,885,"$83,128",735,"1,682","$122,469"
2002,May,5,20,Hamilton,164,242,"$12,293",28,35,"$2,718",136,207,"$9,575"
2002,May,5,21,Herkimer,"2,021","4,309","$334,302",713,"1,003","$81,224","1,308","3,306","$253,078"
